# time (s)	h_+ (strain)	h_x (strain)
-1.989868164	1.969937831003177546e-21	2.458959387290619580e-21
-1.989807129	1.703568791651272598e-21	2.907568528643933511e-21
-1.989746094	1.886853445580084085e-21	2.515751063731827329e-21
-1.989685059	1.621240263260470062e-21	2.960128034105656585e-21
-1.989624023	1.802134813352443559e-21	2.569986500314801377e-21
-1.989562988	1.537294131332049951e-21	3.010148179776769533e-21
-1.989501953	1.715859783445415939e-21	2.621617221941064392e-21
-1.989440918	1.451809443402861616e-21	3.057580817635193790e-21
-1.989379883	1.628107664051099414e-21	2.670597145128508906e-21
-1.989318848	1.364866656573848715e-21	3.102380237154364559e-21
-1.989257812	1.538959148321400300e-21	2.716882621678705846e-21
-1.989196777	1.276547562949783912e-21	3.144503206978208821e-21
-1.989135742	1.448496238786188302e-21	2.760432479759932178e-21
-1.989074707	1.186935214084802442e-21	3.183909014107014258e-21
-1.989013672	1.356802170739332375e-21	2.801208062850668691e-21
-1.988952637	1.096113844138495477e-21	3.220559500855113820e-21
-1.988891602	1.263961334506621406e-21	2.839173266279509737e-21
-1.988830566	1.004168791928257557e-21	3.254419099562078356e-21
-1.988769531	1.170059196472669810e-21	2.874294571381281033e-21
-1.988708496	9.111864218879841711e-22	3.285454864678993108e-21
-1.988647461	1.075182219395769203e-21	2.906541077102883146e-21
-1.988586426	8.172540442545918005e-22	3.313636502709651486e-21
-1.988525391	9.794177815783856080e-22	2.935884529402657993e-21
-1.988464355	7.224598340690919685e-22	3.338936399542884907e-21
-1.988403320	8.828540952790298456e-22	2.962299347835189268e-21
-1.988342285	6.268927497065331747e-22	3.361329645302236512e-21
-1.988281250	7.855801244443965318e-22	2.985762649939171273e-21
-1.988220215	5.306424504406246107e-22	3.380794056814463257e-21
-1.988159180	6.876855016494177390e-22	3.006254272992143310e-21
-1.988098145	4.337992132996387214e-22	3.397310197484130855e-21
-1.988037109	5.892604444671616504e-22	3.023756793008989626e-21
-1.987976074	3.364538496754953110e-22	3.410861394623736277e-21
-1.987915039	4.903956713688389128e-22	3.038255541567915141e-21
-1.987854004	2.386976210642647866e-22	3.421433754342530484e-21
-1.987792969	3.911823170198524070e-22	3.049738619793366411e-21
-1.987731934	1.406221544956231823e-22	3.429016173694786482e-21
