# time (s)	h_+ (strain)	h_x (strain)
-1.994384766	2.317912759826369353e-21	-2.711192257070435959e-21
-1.994323730	2.048926896743275977e-21	-2.107042543657581379e-21
-1.994262695	2.389315304267015150e-21	-2.641279881134003273e-21
-1.994201660	2.122208631049234529e-21	-2.041483225759071838e-21
-1.994140625	2.458662425018234616e-21	-2.569231233781627977e-21
-1.994079590	2.193346875984462110e-21	-1.973716447956817695e-21
-1.994018555	2.525887661844522528e-21	-2.495109413262489267e-21
-1.993957520	2.262277706936650337e-21	-1.903809203432323089e-21
-1.993896484	2.590926583305072956e-21	-2.418979542675297446e-21
-1.993835449	2.328939200621231766e-21	-1.831830371846767540e-21
-1.993774414	2.653716844629748056e-21	-2.340908705680425877e-21
-1.993713379	2.393271494648977218e-21	-1.757850658870088811e-21
-1.993652344	2.714198243546202709e-21	-2.260965880308173913e-21
-1.993591309	2.455216844828148031e-21	-1.681942533992086593e-21
-1.993530273	2.772312774321336573e-21	-2.179221871399700818e-21
-1.993469238	2.514719680580643057e-21	-1.604180166441066812e-21
-1.993408203	2.828004679780300774e-21	-2.095749241379145912e-21
-1.993347168	2.571726658139262953e-21	-1.524639359402985164e-21
-1.993286133	2.881220501311394886e-21	-2.010622239638480297e-21
-1.993225098	2.626186711658245179e-21	-1.443397482631501758e-21
-1.993164062	2.931909126915344563e-21	-1.923916730460687611e-21
-1.993103027	2.678051102104328747e-21	-1.360533403316677615e-21
-1.993041992	2.980021836961274321e-21	-1.835710119584730826e-21
-1.992980957	2.727273463872216872e-21	-1.276127415658144738e-21
-1.992919922	3.025512348060417832e-21	-1.746081279578834847e-21
-1.992858887	2.773809849321828812e-21	-1.190261168672296219e-21
-1.992797852	3.068336854400032930e-21	-1.655110473684014997e-21
-1.992736816	2.817618770629207447e-21	-1.103017592957098367e-21
-1.992675781	3.108454067130263129e-21	-1.562879278903949993e-21
-1.992614746	2.858661239709559696e-21	-1.014480825920647193e-21
-1.992553711	3.145825251302441028e-21	-1.469470507599501223e-21
-1.992492676	2.896900805417388591e-21	-9.247361358831055380e-22
-1.992431641	3.180414260526627236e-21	-1.374968128342475733e-21
-1.992370605	2.932303588603119489e-21	-8.338698450344858428e-22
